t_us,dt_us,ax,ay,az,gx,gy,gz,mx,my,mz,ppg,condition
64882078,10003,0.054565,-1.020264,-0.079468,1.831055,-0.671387,3.601074,53.417969,29.309082,5.737305,524,static
64898779,16701,0.055542,-1.019775,-0.080078,1.586914,-0.549316,3.845215,53.588867,29.602051,6.774902,520,static
64915034,16255,0.055542,-1.020752,-0.078979,2.014160,-0.732422,4.028320,0.000000,0.000000,0.000000,509,static
64930219,15185,0.054932,-1.020752,-0.077271,2.075195,-0.732422,4.028320,0.000000,0.000000,0.000000,512,static
64945821,15602,0.055298,-1.021484,-0.075684,2.563477,-0.366211,3.906250,53.527832,29.907227,5.419922,510,static
64961142,15321,0.056030,-1.021851,-0.075073,3.051758,-0.305176,4.089355,0.000000,0.000000,0.000000,509,static
64976566,15424,0.055054,-1.021851,-0.076904,3.906250,-0.122070,4.272461,0.000000,0.000000,0.000000,507,static
64992294,15728,0.055054,-1.020142,-0.082031,4.577637,0.183105,4.638672,53.515625,29.638672,6.311035,498,static
65008895,16601,0.055420,-1.018555,-0.084839,4.028320,0.000000,4.699707,0.000000,0.000000,0.000000,497,static
65024019,15124,0.055786,-1.018677,-0.084229,3.356934,0.061035,4.882812,0.000000,0.000000,0.000000,490,static
65039339,15320,0.056274,-1.016968,-0.084473,3.051758,-0.183105,4.638672,54.016113,29.772949,6.726074,483,static
65055839,16500,0.056274,-1.015869,-0.087036,2.441406,-0.427246,4.699707,0.000000,0.000000,0.000000,472,static
65070264,14425,0.055420,-1.016968,-0.083618,1.342773,-0.671387,4.272461,0.000000,0.000000,0.000000,479,static
65084353,14089,0.057129,-1.018433,-0.082764,1.281738,-0.732422,4.028320,0.000000,0.000000,0.000000,475,static
65100832,16479,0.058594,-1.019043,-0.078613,1.708984,-0.732422,3.784180,53.125000,29.333496,6.237793,481,static
65117694,16862,0.057495,-1.020386,-0.078369,2.197266,-0.732422,3.784180,0.000000,0.000000,0.000000,485,static
65132746,15052,0.057617,-1.020264,-0.080200,2.624512,-0.732422,3.723145,0.000000,0.000000,0.000000,493,static
65148187,15441,0.056885,-1.021973,-0.079102,2.868652,-0.610352,4.028320,53.442383,29.431152,6.347656,494,static
65164083,15896,0.055298,-1.019897,-0.082642,3.173828,-0.427246,4.211426,0.000000,0.000000,0.000000,499,static
65179040,14957,0.055786,-1.020142,-0.082520,3.112793,-0.427246,4.516602,0.000000,0.000000,0.000000,502,static
65194863,15823,0.056763,-1.017212,-0.085693,2.868652,-0.366211,4.821777,54.150391,29.577637,5.871582,503,static
65210560,15697,0.058105,-1.017700,-0.084717,2.380371,-0.366211,4.882812,0.000000,0.000000,0.000000,509,static
65225984,15424,0.058838,-1.020752,-0.082031,2.380371,-0.244141,4.638672,0.000000,0.000000,0.000000,530,static
65241707,15723,0.058960,-1.019165,-0.082153,2.136230,-0.549316,4.638672,53.479004,29.467773,5.151367,540,static
65257418,15711,0.058716,-1.018921,-0.081665,2.502441,-0.244141,4.638672,0.000000,0.000000,0.000000,558,static
65272349,14931,0.058960,-1.020386,-0.081421,2.868652,-0.305176,4.516602,0.000000,0.000000,0.000000,578,static
65287767,15418,0.060547,-1.019287,-0.083252,3.234863,-0.244141,4.516602,54.064941,29.528809,6.127930,586,static
65303490,15723,0.059570,-1.016968,-0.084839,3.356934,-0.366211,4.272461,0.000000,0.000000,0.000000,586,static
65318684,15194,0.059937,-1.016113,-0.089478,2.990723,-0.488281,4.211426,0.000000,0.000000,0.000000,581,static
65334084,15400,0.059692,-1.017822,-0.086304,1.892090,-0.854492,4.028320,0.000000,0.000000,0.000000,574,static
65349492,15408,0.061035,-1.017578,-0.085083,1.708984,-0.854492,3.845215,53.845215,29.772949,6.250000,561,static
65365692,16200,0.059570,-1.019287,-0.083008,1.647949,-0.793457,3.479004,0.000000,0.000000,0.000000,558,static
65380410,14718,0.058350,-1.020142,-0.081421,2.014160,-0.793457,3.295898,0.000000,0.000000,0.000000,550,static
65395203,14793,0.059204,-1.021118,-0.081787,2.319336,-0.732422,3.295898,53.588867,29.541016,5.737305,544,static
65411150,15947,0.057739,-1.019409,-0.083984,2.502441,-0.549316,3.662109,0.000000,0.000000,0.000000,536,static
65425729,14579,0.058594,-1.018677,-0.083618,2.441406,-0.610352,3.662109,0.000000,0.000000,0.000000,525,static
65440440,14711,0.060059,-1.017212,-0.086182,2.441406,-0.488281,3.967285,54.077148,29.394531,6.848145,522,static
65455808,15368,0.059937,-1.017456,-0.086914,2.014160,-0.671387,3.784180,0.000000,0.000000,0.000000,507,static
