t_us,dt_us,ax,ay,az,gx,gy,gz,mx,my,mz,ppg,condition
17762324,10007,-0.128784,-0.975220,-0.294067,2.197266,-0.366211,4.028320,52.343750,29.162598,6.823730,521,static
17777989,15665,-0.127930,-0.975342,-0.293091,2.746582,0.061035,3.784180,52.185059,28.918457,6.994629,514,static
17793544,15555,-0.128906,-0.974365,-0.294800,3.234863,0.305176,3.723145,0.000000,0.000000,0.000000,515,static
17808578,15034,-0.130615,-0.973755,-0.297363,3.234863,-0.244141,3.662109,0.000000,0.000000,0.000000,504,static
17823355,14777,-0.130859,-0.974609,-0.299683,2.807617,-0.427246,3.967285,52.807617,28.759766,6.445312,500,static
17839269,15914,-0.131104,-0.975830,-0.295288,2.258301,-0.610352,4.394531,0.000000,0.000000,0.000000,485,static
17853993,14724,-0.129150,-0.974609,-0.293945,2.502441,-0.549316,4.333496,0.000000,0.000000,0.000000,484,static
17868910,14917,-0.127441,-0.977173,-0.291260,2.807617,-0.488281,4.211426,0.000000,0.000000,0.000000,478,static
17883617,14707,-0.128174,-0.976562,-0.291504,3.173828,15.502930,4.150391,52.355957,28.234863,6.921387,471,static
17899191,15574,-0.127563,-0.973999,-0.296753,3.723145,0.061035,4.150391,0.000000,0.000000,0.000000,468,static
17913548,14357,-0.128540,-0.973267,-0.300781,3.173828,0.000000,4.272461,0.000000,0.000000,0.000000,463,static
17927737,14189,-0.128540,-0.972412,-0.300537,2.380371,-0.061035,4.150391,52.722168,28.686523,6.835937,457,static
17942984,15247,-0.129150,-0.971436,-0.300293,2.075195,-0.183105,3.845215,0.000000,0.000000,0.000000,456,static
17957114,14130,-0.129150,-0.971802,-0.299072,1.342773,-0.183105,3.479004,0.000000,0.000000,0.000000,460,static
17971311,14197,-0.130615,-0.974243,-0.298340,0.671387,-0.305176,3.356934,52.185059,28.295898,6.909180,461,static
17987014,15703,-0.129150,-0.974121,-0.294312,0.366211,-0.488281,3.173828,0.000000,0.000000,0.000000,474,static
18001691,14677,-0.132446,-0.974365,-0.297974,0.183105,-0.305176,3.112793,0.000000,0.000000,0.000000,482,static
18016118,14427,-0.131836,-0.976685,-0.294800,0.915527,-0.793457,3.662109,0.000000,0.000000,0.000000,487,static
18029923,13805,-0.132690,-0.976440,-0.291504,1.281738,-0.854492,4.028320,52.575684,28.637695,7.312012,499,static
